Customer ID,Recency,Frequency,Monetary,segment_cust
12346,326,1,77183.6,Loyal VIP Customer (Power Users)
12347,40,7,4310.0,Casual Customer
12348,76,4,1797.24,Casual Customer
12349,19,1,1757.55,Casual Customer
12350,311,1,334.4,Churned Customer
12352,73,8,2506.04,Casual Customer
12353,204,1,89.0,Churned Customer
12354,233,1,1079.4,Churned Customer
12355,96,1,459.4,Casual Customer
12356,23,3,2811.43,Casual Customer
12357,182,1,6207.67,Churned Customer
12358,3,2,1168.06,Casual Customer
12359,9,4,6310.03,Casual Customer
12360,53,3,2662.06,Casual Customer
12361,288,1,189.9,Churned Customer
12362,30,10,5226.23,Casual Customer
12363,36,2,552.0,Casual Customer
12364,41,4,1313.1,Casual Customer
12365,292,2,641.38,Churned Customer
12367,212,1,168.9,Churned Customer
12370,52,4,3541.94,Casual Customer
12371,30,2,1887.96,Casual Customer
12372,35,3,1298.04,Casual Customer
12373,342,1,364.6,Churned Customer
12374,26,1,742.9300000000001,Casual Customer
12375,11,2,457.5,Casual Customer
12377,316,2,1628.12,Churned Customer
12378,305,1,4008.62,Churned Customer
12379,82,2,852.24,Casual Customer
12380,22,4,2724.81,Casual Customer
12381,0,5,1845.31,Casual Customer
12383,9,5,1850.56,Casual Customer
12384,29,2,585.27,Casual Customer
12386,192,2,401.9,Churned Customer
12388,16,6,2780.66,Casual Customer
12390,80,1,549.84,Casual Customer
12391,22,1,439.66,Casual Customer
12393,39,4,1582.6000000000001,Casual Customer
12394,153,2,1272.48,Casual Customer
12395,5,12,3018.63,Casual Customer
12397,136,2,2409.9,Casual Customer
12398,46,1,1635.6599999999999,Casual Customer
12399,2,4,1108.65,Casual Customer
12401,99,1,84.3,Casual Customer
12402,324,1,225.6,Churned Customer
12403,50,1,427.7,Casual Customer
12405,149,1,1710.39,Casual Customer
12406,22,2,3415.3,Casual Customer
12407,50,5,1708.1200000000001,Casual Customer
12408,152,5,2888.55,Casual Customer
12409,65,3,11072.67,Casual Customer
